stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_08637,08637,AV.ALC.MÓSTOLES-EST.UNIV.REY JUAN CARLOS,Avda del Alcalde de Móstoles 35,40.3346366882324,-3.87273573875427,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09000,09000,AV.OLÍMPICA-INSTITUTO,Avda   Olímpica 5,40.3267478942871,-3.88421678543091,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09040,09040,AV.OLÍMPICA-CENTRO COMERCIAL,Avda   Olímpica 21,40.3293418884277,-3.88420367240906,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09416,09416,AV.ALCALDE DE MOSTOLES-INSTITUTO,Avda del Alcalde de Móstoles 31,40.3349494934082,-3.87054991722107,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09417,09417,AV.ALCALDE DE MOSTOLES-INSTITUTO,Avda del Alcalde de Móstoles 31,40.3348426818848,-3.87013649940491,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09699,09699,AV.PINTOR VELÁZQUEZ-AV.ALCALDE MÓSTOLES,Calle del Pintor Velázquez 3,40.3334655761719,-3.86173701286316,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09700,09700,PINTOR VELÁZQUEZ-ESPAÑOLETO,Calle del Pintor Velázquez 3,40.3334846496582,-3.86138415336609,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11137,11137,CTRA.M506-POL.IND.FUENSANTA,Urb   Parque Miraflores 61,40.3145484924316,-3.8392174243927,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12901,12901,SAUCE-POL.IND.COGULLADA,Calle del Sauce 22,40.3002586364746,-3.81697821617126,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_17790,17790,MÓSTOLES-OVIEDO,Calle de Móstoles 78,40.2932815551758,-3.80972909927368,B2,http://www.crtm.es,0,,Europe/Madrid,0
par_8_08181,08181,AV.PABLO IGLESIAS-POSITO,Avda de Pablo Iglesias 17,40.3038482666016,-3.83642578125,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08182,08182,AV.NUEVO VERSALLES-URB.NUEVO VERSALLES,Calle de Clara Campoamor 1,40.2947731018066,-3.83176040649414,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11675,11675,AV.PABLO IGLESIAS-DOLORES IBÁRRURI,Avda de Pablo Iglesias 17,40.3035430908203,-3.83508038520813,B2,http://www.crtm.es,0,,Europe/Madrid,2
